Fletcher_John	Fletcher John	literary?! playwright	http://viaf.org/viaf/12323361
Flush_pet	Flush		
Foote_Maria	Maria Foote?! Stanhope Foote Maria	actor	http://viaf.org/viaf/46598323
Foote_Samuel	Foote Samuel	literary?! playwright?! actor?! theater manager	http://viaf.org/viaf/29561715
Forbes_Capt	Captain Forbes	theatre proprietor?! military?! legal	
Ford_John	Ford John	literary?! playwright?! poet	http://viaf.org/viaf/44323561
Foscari_son_hist	Jacopo Foscari?! Foscari Jacopo		http://viaf.org/viaf/3833460
Fox_ChasJ	Charles James Fox The Honourable Member of Parliament Leader of the House of Commons secretary of State for Foreign Affairs	politician	http://viaf.org/viaf/39462521
Fox_HRV	Henry Richard Vassal Fox?! 3rd Baron Holland, of Holland?! 3rd Baron Holland, of Foxley, PC?! Right Honourable Lord Holland, PC		http://viaf.org/viaf/39462521
Frankland_Mrs	Mrs. Frankland?! Frankland		
Franklin_Ben	Benjamin Franklin	literary?! printer?! naturalist?! ambassador?! politician?! postmaster	http://viaf.org/viaf/56609913
Franklin_Eleanor	Porden Franklin Eleanor Anne	literary?! poet	http://viaf.org/viaf/62276884
Franklin_John	Sir John Franklin Royal Navy Fellow of the Royal Geographical Society Rear-Admiral Lieutenant-Governor of Van Dieman’s Land, now Tasmania	military?! traveller?! explorer?! government	http://viaf.org/viaf/75094584
Frere_JH	J.H. Frere?! Frere John Hookham?! Whistlecraft	diplomat?! literary?! editor	http://viaf.org/viaf/1141974
Froissart	Jean Froissart?! canon of Chimay, France	literary?! court historian?! clergy	http://viaf.org/viaf/100178580
Fuseli_H	Henry Fuseli?! Johann Heinrich Füssli	artist?! literary	http://viaf.org/viaf/53061
Fuseli_Sophia	Fuseli Rawlins Sophia		
Garrick_David	Garrick David	actor?! theater manager?! literary?! playwright	http://viaf.org/viaf/24563
Gaskell_Eliz	Gaskell Stevenson Elizabeth Cleghorn	literary?! biographer?! novelist	http://viaf.org/viaf/39377536
GastonII	Gaston II count of Foix		
GastonIII	Gaston III count of Foix?! Fébus		
Geo_SpencerChurchill	George Spencer-Churchill?! 6th Duke of Marlborough?! Member of Parliament?! Lord Lieutenant of Oxfordshire	patron of the arts?! politician	http://viaf.org/viaf/93700565
GeoIII	George III?! George William Frederick King of Great Britain and King of Ireland King of the United Kingdom of Great Britain and Ireland		http://viaf.org/viaf/49264990
GeoIV	George IV?! King of the United Kingdom of Great Britain and Ireland?! George Augustus Frederick?! Prince Regent	monarch	http://viaf.org/viaf/265481029
George	George		
Gibbon_Edward	Edward Gibbon?! Gibbon Edward?! Member of Parliament	literary?! historian?! politician	http://viaf.org/viaf/24601933
Gifford_William	William Gifford?! Gifford William	literary?! editor?! politics	http://viaf.org/viaf/12297538
Gillies_Rob	Gillies Robert Pearse		
Godwin_Wm	William Godwin?! William Godwin	literary?! philosopher?! journalist?! novelist	http://viaf.org/viaf/68929729
Goldsmith	Oliver Goldsmith	literary?! physician	http://viaf.org/viaf/100167171
Goodchild_J	Goodchild Joseph	farmer at Hill house farm, Three Mile Cross	
Graham_Maria	Maria, Lady Callcott Callcott Graham Dundas Maria		http://viaf.org/viaf/41970133/
Gray_Thos	Thomas Gray	literary	http://viaf.org/viaf/9889965
Griffin_Rich	Richard Griffin?! 2nd Baron Braybrooke?! Lord Braybrooke	politician?! literary	http://viaf.org/viaf/39732003
Groby	Lord Grey of Groby?! Grey Stamford Thomas?! Lord Grey of Groby Earl of Stamford	military?! politician	http://viaf.org/viaf/60510358
Guiccioli_T	Teresa Guiccioli?! Guiccioli Teresa Contessa	literary?! biographer	http://viaf.org/viaf/44293835
Gutch_John	John Gutch	clergyman?! antiquarian?! literary	http://viaf.org/viaf/79251745
Halford_SrHen	Sir Henry St John Halford?! Halford Henry St John Sir baronet?! Vaughn Henry		http://viaf.org/viaf/22892749
Hamilton_S	Hamilton Samuel?! 	publisher?! editor	http://viaf.org/viaf/4584459
Handel	George Frideric Handel?! George Frederick Handel?! Georg Friedrich Händel	musician?! composer	http://viaf.org/viaf/5126950
Hanson_John	John Hanson		
Hanson_MA	Mary Anne Hanson Portsmouth?! Lady Portsmouth?! Countess of Portsmouth		
Harness_Mary	Mary Harness?! Harness Mary		
Harris_Henry	Henry Harris		
Harrison_hist	Thomas Harrison?! Thomas Harrison	military?! politician?! legal	http://viaf.org/viaf/69724297
Hassall_Joan	Hassall Joan?! Order of the British Empire Master of the Art Workers Guild	illustrator?! wood engraver?! artist	http://viaf.org/viaf/32139090
Hatch_John	Hatch John		
Havard_Wm	Havard, William William Havard	literary?! poet?! playwright?! actor	
Hawley_GeneralSr	General Hawley		
Hawley_Mr	Mr. Hawley		
Hawthorne_N	Nathaniel Hawthorne?! Nathaniel Hawthorne	literary?! novelist?! essayist	http://viaf.org/viaf/44435463
Haydn	Franz Joseph Hadyn?! Joseph Haydn	musician?! composer	http://viaf.org/viaf/95146280
Haydon	Haydon Benjamin Robert		
Haydon_Father	Benjamin Robert Haydon Haydon Robert Benjamin		
Haydon_Mother	Mrs. Sarah Haydon Cobley Haydon Sarah		
Haydon_Mrs	Mary Hyman?! Mary Haydon?! Haydon Hyman Cawse Mrs. Haydon Mary		
Hazlitt_Wm	William Hazlitt?! Hazlitt William	literary?! essayist?! biographer?! artist?! painter	http://viaf.org/viaf/87145187
Hearne_Thos	Thomas Hearne?! Thomas Hearn	antiquarian?! literary	http://viaf.org/viaf/29543710
Heath_C	Heath Charles Theodosius		
Heath_J	Heath James		
Heber_Rich	Richard Heber Heber Richard?! Member of Parliament for Oxford University	literary?! political	http://viaf.org/viaf/5314321
Hemans_Felicia	Felicia Hemans?! Hemans Browne Felicia	literary?! poet?! playwright	http://viaf.org/viaf/17397168
Henry_V	Henry V?! Harry?! Henry Plantagenet?! King of England and of France and Lord of Ireland	monarch	http://viaf.org/viaf/284333410
HenryVI	Henry VI?! King of England and of France and Lord of Ireland King of England, Heir and Regent of France and Lord of Ireland		http://viaf.org/viaf/96926832
Hervey_Wm	Frederick William Hervey?! Lord Hervey?! 5th Earl of Bristol?! Marquess of Bristol	military?! politics?! philanthrophist?! scientist	
Hessey_J	Hessey James Augustus?! J. A. Hessey		
Hill_Charles	Hill Charles	schoolmaster	
Hill_Lucy	Hill Sweatser Lucy	servant	
Hobbes	Thomas Hobbes	literary?! philosopher	http://viaf.org/viaf/59083895
Hobhouse_JC	John Cam Hobhouse?! John Cam Hobhouse?! 1st Baron Broughton	politician	http://viaf.org/viaf/56611273
Hofland_B	Hofland Wreaks Barbara	literary	
Hofland_TC	Thomas Christopher Hofland?! Hofland Thomas Christopher	artist	
Hogarth	William Hogarth?! Hogarth William	artist	http://viaf.org/viaf/17268409
Hogg_J	Hogg James?! the Ettrick Shepherd		
Holcroft_Thos	Thomas Holcroft?! Thomas Holcroft	literary?! playwright?! novelist?! journalist	http://viaf.org/viaf/56644486
Holden_Henry	Dr. Holden?! Holden Henry	theologian	
Holford_Marg_younger	Margaret Holford Hodgson?! Miss Holford?! Margaret Hodgson	literary	http://viaf.org/viaf/42187522
Holton_Paul	Holton Paul	wine and spirits merchant at Wokingham	
Homer	Homer		http://viaf.org/viaf/101739509
Hood_Thos	Thomas Hood?! Hood Thomas	literary	
Horace	Horace?! Quintus Horatius Flaccus	"poet">?! "memoirist">?! "theorist">	
Howard_John	John Howard	philanthrophist?! reformer	http://viaf.org/viaf/61639520
Howard_SirRob	Robert Sir Robert Howard Howard	playwright?! politician	http://viaf.org/viaf/117377
Howard_Tho	Thomas Howard?! Thomas Howard fourth duke of Norfolk	nobility	
HowardBrenton	Howard Brenton?! Howard Brenton	playwright	
HughPeters	Hugh Peters?! Hugh Peters	minister?! chaplain	
Hugo_Victor	Hugo Victor	literary	
hume	David Hume?! David Hume	philosopher?! "philosopher">?! "historian">?! "librarian">	http://viaf.org/viaf/49226972/
Hume_Jos	Joseph Hume?! Hume Joseph	government	
Hunt	James Henry Leigh Hunt?! Leigh Hunt	literary	http://viaf.org/viaf/54166412
Hunt_Robert	Robert Hunt	literary	
